# MOND N-body snapshot at t = 0.800 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
162 5.537436 17.664975 20.026546 113.016 154.654 -37.650 5.000e+07 1
163 5.154300 17.258441 20.506697 41.590 47.575 -21.031 5.000e+07 1
164 4.932573 18.124227 21.309057 120.700 59.183 157.507 5.000e+07 1
165 0.566895 18.607156 21.987000 -10.355 -125.087 40.164 5.000e+07 1
166 2.126254 19.736739 18.919322 -31.533 240.131 -164.296 5.000e+07 1
167 -2.341204 18.626763 20.367441 -110.616 -201.372 -80.042 5.000e+07 1
168 3.023731 18.203650 19.962232 -283.768 -219.233 143.624 5.000e+07 1
169 2.312288 15.012598 21.041796 8.041 -110.540 40.549 5.000e+07 1
170 3.755467 17.169280 21.596678 -248.345 52.336 -63.188 5.000e+07 1
171 2.201910 17.816160 21.266804 123.291 9.848 -73.820 5.000e+07 1
172 1.601818 16.291591 21.452198 -0.819 19.775 -132.210 5.000e+07 1
173 0.027624 15.167925 20.257728 274.764 93.391 -128.769 5.000e+07 1
174 3.330964 17.131086 19.960424 -14.783 -150.380 -16.143 5.000e+07 1
175 3.657204 18.212258 20.853211 -132.927 192.918 2.820 5.000e+07 1
176 6.512995 18.186291 23.085560 -114.800 77.309 23.081 5.000e+07 1
177 4.721848 18.592222 23.187485 -77.273 50.309 290.598 5.000e+07 1
178 0.826546 18.685207 21.285023 -290.384 -66.132 -27.221 5.000e+07 1
179 3.329658 13.430107 20.753101 7.771 5.700 27.484 5.000e+07 1
180 3.982744 15.285297 21.245284 -119.563 234.753 129.519 5.000e+07 1
181 3.685135 16.458835 21.285431 292.347 117.154 134.636 5.000e+07 1
182 4.392090 17.070598 20.091626 -192.732 116.071 -218.863 5.000e+07 1
183 -1.998474 11.965913 17.663296 30.970 -34.861 -18.129 5.000e+07 1
184 1.425152 20.400860 21.516825 -227.963 -100.906 26.757 5.000e+07 1
185 -2.122272 12.983062 16.226663 336.722 -125.634 269.576 5.000e+07 1
186 4.869016 16.479611 20.031825 336.008 133.504 31.239 5.000e+07 1
187 3.243666 16.572215 20.793140 85.716 -94.714 57.364 5.000e+07 1
188 1.766747 17.354354 21.866770 -89.803 -127.946 300.760 5.000e+07 1
189 2.930562 17.434552 19.176038 62.615 -105.563 121.172 5.000e+07 1
190 2.931584 17.729927 20.463982 -10.548 -77.114 127.226 5.000e+07 1
191 2.403679 18.066290 19.797646 -224.991 284.637 32.716 5.000e+07 1
192 4.538507 25.430404 19.577363 -188.633 18.864 -11.819 5.000e+07 1
193 3.179160 16.778147 21.388792 95.329 68.665 233.817 5.000e+07 1
194 4.952782 14.196226 12.996197 0.936 50.854 -30.492 5.000e+07 1
195 4.012327 17.517123 21.047369 9.779 183.337 3.072 5.000e+07 1
196 -1.271579 12.595957 17.544389 3.105 -84.155 46.691 5.000e+07 1
197 3.436308 18.142863 21.330527 55.946 128.697 8.190 5.000e+07 1
198 14.987199 8.352042 20.437361 -55.717 54.849 123.674 5.000e+07 1
199 2.143518 17.593595 20.633512 124.492 21.554 34.374 5.000e+07 1
200 9.715594 23.333511 22.236480 -154.008 146.150 -33.101 6.250e+07 2
201 0.908452 10.807243 21.905739 93.392 -80.495 -23.432 6.250e+07 2
202 4.623940 14.752484 20.216247 100.018 36.359 -46.769 6.250e+07 2
203 0.158109 18.093371 20.844444 22.622 -28.844 42.098 6.250e+07 2
